Date,HSI,000001
2012/3/1,21387.96094,2426.11499
2012/3/2,21562.25977,2460.693115
2012/3/5,21265.31055,2445.001953
2012/3/6,20806.25,2410.445068
2012/3/7,20627.7793,2394.793945
2012/3/8,20900.73047,2420.275879
2012/3/9,21086,2439.461914
2012/3/12,21134.17969,2434.85791
2012/3/13,21339.69922,2455.793945
2012/3/14,21307.89063,2391.22998
2012/3/15,21353.5293,2373.773926
2012/3/16,21317.84961,2404.736084
2012/3/20,20888.24023,2376.839111
2012/3/21,20856.63086,2378.195068
2012/3/22,20901.56055,2375.771973
2012/3/23,20668.80078,2349.539063
2012/3/26,20668.85938,2350.599121
2012/3/27,21046.91016,2347.178955
2012/3/28,20885.41992,2284.881104
2012/3/29,20609.39063,2252.159912
2012/3/30,20555.58008,2262.788086
2012/4/5,20593,2302.240967
2012/4/10,20356.24023,2305.863037
2012/4/11,20140.66992,2308.925049
2012/4/12,20327.32031,2350.864014
2012/4/13,20701.03906,2359.160889
2012/4/16,20610.64063,2357.025879
2012/4/17,20562.31055,2334.985107
2012/4/18,20780.73047,2380.8479
2012/4/19,20995.00977,2378.634033
2012/4/20,21010.64063,2406.863037
2012/4/23,20624.39063,2388.587891
2012/4/24,20677.16016,2388.833984
2012/4/25,20646.28906,2406.812988
2012/4/26,20809.71094,2404.697021
2012/4/27,20741.44922,2396.315918
2012/5/2,21309.08008,2438.436035
2012/5/3,21249.5293,2440.080078
2012/5/4,21086,2452.013916
2012/5/7,20536.65039,2451.947021
2012/5/8,20484.75,2448.884033
2012/5/9,20330.64063,2408.585938
2012/5/10,20227.2793,2410.229004
2012/5/11,19964.63086,2394.981934
2012/5/14,19735.03906,2380.725098
2012/5/15,19894.31055,2374.843018
2012/5/16,19259.83008,2346.191895
2012/5/17,19200.92969,2378.885986
2012/5/18,18951.84961,2344.520996
2012/5/21,18922.32031,2348.300049
2012/5/22,19039.15039,2373.305908
2012/5/23,18786.18945,2363.437012
2012/5/24,18666.40039,2350.9729
2012/5/25,18713.41016,2333.552979
2012/5/28,18800.99023,2361.366943
2012/5/29,19055.46094,2389.635986
2012/5/30,18690.2207,2384.667969
2012/5/31,18629.51953,2372.233887
2012/6/1,18558.33984,2373.436035
2012/6/4,18185.58984,2308.550049
2012/6/5,18259.0293,2311.916016
2012/6/6,18520.5293,2309.554932
2012/6/7,18678.28906,2293.129883
2012/6/8,18502.33984,2281.447021
2012/6/11,18953.63086,2305.855957
2012/6/12,18872.56055,2289.791016
2012/6/13,19026.51953,2318.924072
2012/6/14,18808.40039,2295.946045
2012/6/15,19233.93945,2306.850098
2012/6/18,19427.81055,2316.052002
2012/6/19,19416.66992,2300.794922
2012/6/20,19518.84961,2292.876953
2012/6/21,19265.07031,2260.876953
2012/6/25,18897.44922,2224.114014
2012/6/26,18981.83984,2222.066895
2012/6/27,19176.94922,2216.934082
2012/6/28,19025.26953,2195.843018
2012/6/29,19441.46094,2225.429932
2012/7/3,19735.5293,2229.191895
2012/7/4,19709.75,2227.314941
2012/7/5,19809.13086,2201.353027
2012/7/6,19800.64063,2223.579102
2012/7/9,19428.08984,2170.813965
2012/7/10,19396.35938,2164.437988
2012/7/11,19419.86914,2175.383057
2012/7/12,19025.10938,2185.490967
2012/7/13,19092.63086,2185.89502
2012/7/16,19121.33984,2147.955078
2012/7/17,19455.33008,2161.186035
2012/7/18,19239.88086,2169.099121
2012/7/19,19559.05078,2184.841064
2012/7/20,19640.80078,2168.637939
2012/7/23,19053.4707,2141.4021
2012/7/24,18903.19922,2146.587891
2012/7/25,18877.33008,2136.150879
2012/7/26,18892.78906,2126.003906
2012/7/27,19274.96094,2128.764893
2012/7/30,19585.40039,2109.914063
2012/7/31,19796.81055,2103.63501
2012/8/1,19820.38086,2123.360107
2012/8/2,19690.19922,2111.181885
2012/8/3,19666.17969,2132.795898
2012/8/6,19998.7207,2154.916016
2012/8/7,20072.55078,2157.620117
2012/8/8,20065.51953,2160.98999
2012/8/9,20269.4707,2174.102051
2012/8/10,20136.11914,2168.813965
2012/8/13,20081.35938,2136.077881
2012/8/14,20291.67969,2142.523926
2012/8/15,20052.28906,2118.945068
2012/8/16,19962.94922,2112.197021
2012/8/17,20116.07031,2114.891113
2012/8/20,20104.26953,2106.957031
2012/8/21,20100.08984,2118.268066
2012/8/22,19887.7793,2107.710938
2012/8/23,20132.24023,2113.072021
2012/8/24,19880.0293,2092.104004
2012/8/27,19798.66992,2055.708008
2012/8/28,19811.80078,2073.154053
2012/8/29,19788.50977,2053.235107
2012/8/30,19552.91016,2052.584961
2012/8/31,19482.57031,2047.521973
2012/9/3,19559.21094,2059.146973
2012/9/4,19429.91016,2043.649048
2012/9/5,19145.07031,2037.68103
2012/9/6,19209.30078,2051.917969
2012/9/7,19802.16016,2127.761963
2012/9/10,19827.16992,2134.893066
